[2020-12-22 19:18:58] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-22 19:18:58] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-22 19:18:58] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-23 13:53:55] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-23 13:53:55] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-23 13:53:55] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-23 13:53:55] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-23 14:24:28] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-23 14:24:28] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-23 14:24:28] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-23 14:24:28] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-23 14:55:28] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-23 14:55:28] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-23 14:55:28] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-23 14:55:28] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-23 15:36:46] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-23 15:36:46] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-23 15:36:46] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
